Iteration 1      |       RMSE = 30.63672952165662       |        Time: 1085ms
Iteration 2      |       RMSE = 1.7449014569516035      |        Time: 362ms
Iteration 3      |       RMSE = 1.3515001097679518      |        Time: 324ms
Iteration 4      |       RMSE = 1.2778535446814037      |        Time: 318ms
Iteration 5      |       RMSE = 1.2491921782153113      |        Time: 325ms
Iteration 6      |       RMSE = 1.2277013937716394      |        Time: 324ms
Iteration 7      |       RMSE = 1.2042026397496888      |        Time: 342ms
Iteration 8      |       RMSE = 1.1727864505688443      |        Time: 343ms
Iteration 9      |       RMSE = 1.1289800037400766      |        Time: 344ms
Iteration 10     |       RMSE = 1.0751500680892825      |        Time: 348ms
Iteration 11     |       RMSE = 1.017115058841836       |        Time: 338ms
Iteration 12     |       RMSE = 0.9595303551511941      |        Time: 330ms
Iteration 13     |       RMSE = 0.9041412830180993      |        Time: 321ms
Iteration 14     |       RMSE = 0.852412983335672       |        Time: 307ms
Iteration 15     |       RMSE = 0.8092415186792351      |        Time: 276ms
Iteration 16     |       RMSE = 0.7728300914452582      |        Time: 272ms
Iteration 17     |       RMSE = 0.7445111437923227      |        Time: 264ms
Iteration 18     |       RMSE = 0.7233702218879731      |        Time: 261ms
Iteration 19     |       RMSE = 0.7074188668950548      |        Time: 260ms
Iteration 20     |       RMSE = 0.6957603715629898      |        Time: 259ms
Iteration 21     |       RMSE = 0.6870271770386709      |        Time: 264ms
Iteration 22     |       RMSE = 0.6803334757483661      |        Time: 261ms
Iteration 23     |       RMSE = 0.6750383617072496      |        Time: 262ms
Iteration 24     |       RMSE = 0.6706632534697015      |        Time: 263ms
Iteration 25     |       RMSE = 0.6669473977401256      |        Time: 263ms
Iteration 26     |       RMSE = 0.6637669788985058      |        Time: 273ms
Iteration 27     |       RMSE = 0.6609716564025532      |        Time: 272ms
Iteration 28     |       RMSE = 0.6585414882026657      |        Time: 272ms
Iteration 29     |       RMSE = 0.6564435925547898      |        Time: 265ms
Iteration 30     |       RMSE = 0.654627208859026       |        Time: 266ms
Iteration 31     |       RMSE = 0.6530685287568485      |        Time: 268ms
Iteration 32     |       RMSE = 0.6517065607693835      |        Time: 266ms
Iteration 33     |       RMSE = 0.6505264694659832      |        Time: 268ms
Iteration 34     |       RMSE = 0.6495077718864938      |        Time: 269ms
Iteration 35     |       RMSE = 0.64865662157768        |        Time: 266ms
Iteration 36     |       RMSE = 0.6479470676364317      |        Time: 266ms
Iteration 37     |       RMSE = 0.647325135061967       |        Time: 267ms
Iteration 38     |       RMSE = 0.6467973948542892      |        Time: 266ms
Iteration 39     |       RMSE = 0.6463478988325602      |        Time: 266ms
Iteration 40     |       RMSE = 0.645970810768667       |        Time: 266ms
Iteration 41     |       RMSE = 0.645653837535155       |        Time: 266ms
Iteration 42     |       RMSE = 0.6453815847307058      |        Time: 268ms
Iteration 43     |       RMSE = 0.6451483899596391      |        Time: 265ms
Iteration 44     |       RMSE = 0.6449429816174198      |        Time: 267ms
Iteration 45     |       RMSE = 0.6447676433523467      |        Time: 266ms
Iteration 46     |       RMSE = 0.644622565008594       |        Time: 266ms
Iteration 47     |       RMSE = 0.6445013779040738      |        Time: 267ms
Iteration 48     |       RMSE = 0.6443989263918809      |        Time: 267ms
Iteration 49     |       RMSE = 0.6443084608372439      |        Time: 265ms
Iteration 50     |       RMSE = 0.6442273027465494      |        Time: 267ms
Iteration 51     |       RMSE = 0.6441595852991491      |        Time: 267ms
Iteration 52     |       RMSE = 0.6441024907716508      |        Time: 267ms
Iteration 53     |       RMSE = 0.644055071061331       |        Time: 266ms
Iteration 54     |       RMSE = 0.6440128734314876      |        Time: 268ms
Iteration 55     |       RMSE = 0.6439769550501601      |        Time: 266ms
Iteration 56     |       RMSE = 0.6439462937107875      |        Time: 267ms
Iteration 57     |       RMSE = 0.6439204332717452      |        Time: 267ms
Iteration 58     |       RMSE = 0.6438979046698805      |        Time: 266ms
Iteration 59     |       RMSE = 0.6438788265534826      |        Time: 271ms
Iteration 60     |       RMSE = 0.6438620779670422      |        Time: 266ms
Iteration 61     |       RMSE = 0.6438479300093853      |        Time: 267ms
Iteration 62     |       RMSE = 0.6438358585400529      |        Time: 268ms
Iteration 63     |       RMSE = 0.6438257247465013      |        Time: 266ms
Iteration 64     |       RMSE = 0.6438178025205202      |        Time: 267ms
Iteration 65     |       RMSE = 0.6438113748339797      |        Time: 270ms
Iteration 66     |       RMSE = 0.6438060162210333      |        Time: 269ms
Iteration 67     |       RMSE = 0.6438014318920019      |        Time: 269ms
Iteration 68     |       RMSE = 0.643797529339698       |        Time: 270ms
Iteration 69     |       RMSE = 0.6437945203239942      |        Time: 267ms
Iteration 70     |       RMSE = 0.6437923095108502      |        Time: 267ms
Iteration 71     |       RMSE = 0.6437905500768651      |        Time: 269ms
Iteration 72     |       RMSE = 0.643788977897409       |        Time: 275ms
Iteration 73     |       RMSE = 0.643787748431012       |        Time: 276ms
Iteration 74     |       RMSE = 0.6437867137627247      |        Time: 290ms
Iteration 75     |       RMSE = 0.643785847666623       |        Time: 269ms
Converged at iteration 74 with error 0.643785847666623 at 290ms per iteration.
